_id,Name,Category,Price,Cost,Description,Allergens,Available,Image
,Crispy Calamari,Appetizers,14.99,4.50,Tender calamari rings served with marinara and aioli dipping sauces.,Gluten,true,"[{""id"":""img-1"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Burrata Salad,Appetizers,16.99,5.25,Fresh burrata with heirloom tomatoes and basil pesto.,"Dairy,Nuts",true,"[{""id"":""img-2"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1608897013039-887f21d8c804?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Grilled Salmon,Main Course,32.99,12.50,Atlantic salmon with lemon butter and seasonal vegetables.,,true,"[{""id"":""img-3"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Filet Mignon,Main Course,45.99,18.00,8oz center-cut filet with truffle butter and mashed potatoes.,Dairy,true,"[{""id"":""img-4"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1558030006-450675393462?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Lobster Risotto,Main Course,38.99,15.75,Creamy arborio rice with Maine lobster and parmesan.,"Shellfish,Dairy",true,"[{""id"":""img-5"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Chicken Parmesan,Main Course,26.99,8.50,Breaded chicken breast with marinara and mozzarella.,"Gluten,Dairy,Eggs",true,"[{""id"":""img-6"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1632778149955-e80f8ceca2e8?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Tiramisu,Desserts,12.99,3.50,Classic Italian dessert with espresso-soaked ladyfingers.,"Gluten,Dairy,Eggs",true,"[{""id"":""img-7"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Chocolate Lava Cake,Desserts,14.99,4.00,Warm chocolate cake with molten center and vanilla ice cream.,"Gluten,Dairy,Eggs",true,"[{""id"":""img-8"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1624353365286-3f8d62daad51?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,House Red Wine,Beverages,12.99,4.00,California Cabernet Sauvignon by the glass.,,true,"[{""id"":""img-9"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Sparkling Water,Beverages,4.99,1.00,San Pellegrino 750ml bottle.,,true,"[{""id"":""img-10"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1523362628745-0c100150b504?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Truffle Fries,Sides,9.99,2.50,Crispy fries with truffle oil and parmesan.,Dairy,true,"[{""id"":""img-11"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Seasonal Vegetables,Sides,8.99,2.25,Grilled asparagus and roasted carrots.,,true,"[{""id"":""img-12"",""filename"":""food.jpg"",""url"":""https://images.unsplash.com/photo-1540420773420-3366772f4999?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
