_id,Title,Author,ISBN,Genre,Publisher,Year,Copies,Available,Location,Cover
,To Kill a Mockingbird,Harper Lee,978-0-06-112008-4,Fiction,Harper Perennial,1960,5,3,A-101,
,1984,George Orwell,978-0-452-28423-4,Fiction,Signet Classics,1949,4,2,A-102,
,The Great Gatsby,F. Scott Fitzgerald,978-0-7432-7356-5,Fiction,Scribner,1925,3,1,A-103,
,Pride and Prejudice,Jane Austen,978-0-14-143951-8,Fiction,Penguin Classics,1813,4,4,A-104,
,Dune,Frank Herbert,978-0-441-17271-9,Science Fiction,Ace,1965,3,2,B-201,
,Foundation,Isaac Asimov,978-0-553-29335-7,Science Fiction,Bantam Spectra,1951,2,1,B-202,
,Neuromancer,William Gibson,978-0-441-56956-4,Science Fiction,Ace,1984,2,2,B-203,
,The Hitchhiker's Guide to the Galaxy,Douglas Adams,978-0-345-39180-3,Science Fiction,Del Rey,1979,4,3,B-204,
,Murder on the Orient Express,Agatha Christie,978-0-06-269366-2,Mystery,William Morrow,1934,3,2,C-301,
,The Maltese Falcon,Dashiell Hammett,978-0-679-72264-5,Mystery,Vintage Crime,1930,2,1,C-302,
,Gone Girl,Gillian Flynn,978-0-307-58837-1,Mystery,Crown Publishing,2012,5,4,C-303,
,Steve Jobs,Walter Isaacson,978-1-4516-4853-9,Biography,Simon & Schuster,2011,3,2,D-401,
,The Diary of a Young Girl,Anne Frank,978-0-553-57712-9,Biography,Bantam,1947,4,3,D-402,
,A Brief History of Time,Stephen Hawking,978-0-553-38016-3,Non-Fiction,Bantam,1988,3,2,E-501,
,Sapiens,Yuval Noah Harari,978-0-06-231609-7,Non-Fiction,Harper,2014,4,1,E-502,
,Atomic Habits,James Clear,978-0-7352-1131-3,Non-Fiction,Avery,2018,6,5,E-503,
,Charlotte's Web,E.B. White,978-0-06-093546-7,Children,HarperCollins,1952,5,4,F-601,
,Harry Potter and the Sorcerer's Stone,J.K. Rowling,978-0-590-35340-3,Children,Scholastic,1997,8,5,F-602,
,The Very Hungry Caterpillar,Eric Carle,978-0-399-22690-3,Children,Philomel Books,1969,4,4,F-603,
,Where the Wild Things Are,Maurice Sendak,978-0-06-443178-1,Children,HarperCollins,1963,3,3,F-604,
