_id,Order Number,Order Date,Supplier,Status,Total,Expected Delivery,Notes
,PO-2024-001,2024-01-05,TechSource Inc,Delivered,15450.00,2024-01-12,Electronics restock order
,PO-2024-002,2024-01-08,Office Comfort Co,Shipped,8500.00,2024-01-18,New office furniture
,PO-2024-003,2024-01-10,Paper World,Confirmed,2340.00,2024-01-17,Monthly supplies order
,PO-2024-004,2024-01-12,ToolMaster,Submitted,4200.00,2024-01-25,Tool inventory replenishment
,PO-2024-005,2024-01-14,TechSource Inc,Draft,12800.00,2024-02-01,Q1 electronics order
,PO-2024-006,2024-01-08,LightWorks,Delivered,1850.00,2024-01-15,LED lamp restock
,PO-2024-007,2024-01-11,Global Parts Co,Confirmed,6200.00,2024-02-05,International order
,PO-2024-008,2024-01-09,FastShip Supply,Shipped,3400.00,2024-01-13,Rush order - express
,PO-2024-009,2024-01-06,BudgetStock,Cancelled,1200.00,,Quality issues - cancelled
,PO-2024-010,2024-01-15,Office Comfort Co,Draft,5600.00,2024-01-30,Standing desk order
