_id,Name,Status,Priority,Due Date,Start Date,Assignee,Notes,Completed,Effort (pts),Confidence,Tags,Budget,Progress,Contact Email,Reference URL,Thumbnail,Phone,Time Spent,Asset ID
,Project Kickoff Meeting,Done,High,2026-01-08,2026-01-06,,Initial project kickoff with all stakeholders. Defined scope milestones and resource allocation.,true,3,5,"Docs,Feature",1000,100,project@example.com,https://docs.example.com/kickoff,"[{""id"":""thumb-1"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1581291518857-4e27b48ff24e?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0101,7200,TASK-2026-001
,Requirements Gathering Phase,In Progress,High,2026-01-20,2026-01-08,,Collect and document all business requirements from stakeholders. Create user stories and acceptance criteria.,false,8,4,"Docs,Backend",3000,60,requirements@example.com,https://docs.example.com/requirements,"[{""id"":""thumb-2"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0102,14400,TASK-2026-002
,API Architecture Design,In Progress,Critical,2026-01-15,2026-01-09,,Design RESTful API architecture with OpenAPI spec. Define endpoints authentication and rate limiting.,false,13,5,"Backend,Docs",5000,70,architecture@example.com,https://docs.example.com/api-design,"[{""id"":""thumb-3"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0103,21600,TASK-2026-003
,Database Schema Design,In Progress,High,2026-01-16,2026-01-10,,Design normalized database schema with indexes and relationships. Include migration strategy.,false,8,4,Backend,4000,55,database@example.com,https://dbdiagram.io/schema,"[{""id"":""thumb-4"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1504868584819-f8e8b4b6d7e3?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0104,18000,TASK-2026-004
,Sprint 1 Planning,Done,Medium,2026-01-10,2026-01-09,,Plan first development sprint. Assign tasks estimate points and set sprint goals.,true,3,5,Docs,500,100,scrum@example.com,https://jira.example.com/sprint-1,"[{""id"":""thumb-5"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0105,3600,TASK-2026-005
,UI/UX Wireframes,In Progress,High,2026-01-18,2026-01-11,,Create low-fidelity wireframes for all main user flows. Include mobile responsive designs.,false,8,4,"Design,Frontend",3500,45,design@example.com,https://figma.com/wireframes,"[{""id"":""thumb-6"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1512941937669-90a1b58e7e9c?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0106,10800,TASK-2026-006
,Authentication System Implementation,In Progress,Critical,2026-01-22,2026-01-12,,Implement OAuth 2.0 with JWT tokens. Include refresh token rotation and secure session management.,false,13,5,"Backend,Feature",6000,35,security@example.com,https://oauth.net/2/,"[{""id"":""thumb-7"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0107,12600,TASK-2026-007
,User Registration Flow,Not Started,High,2026-01-25,2026-01-18,,Build user registration with email verification. Include password strength validation.,false,8,4,"Frontend,Backend",2500,0,auth@example.com,https://docs.example.com/registration,"[{""id"":""thumb-8"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1596526131083-e8c633c948d2?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0108,0,TASK-2026-008
,Dashboard Component Library,In Progress,Medium,2026-01-24,2026-01-13,,Build reusable React component library with Storybook documentation.,false,8,4,"Frontend,Feature",3000,50,frontend@example.com,https://storybook.js.org,"[{""id"":""thumb-9"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1618401471353-b98afee0b2eb?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0109,14400,TASK-2026-009
,Real-time Data Sync,Not Started,High,2026-01-30,2026-01-20,,Implement WebSocket-based real-time data synchronization across clients.,false,13,4,"Backend,Feature",5500,0,realtime@example.com,https://socket.io,"[{""id"":""thumb-10"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0110,0,TASK-2026-010
,Performance Baseline Testing,Review,Medium,2026-01-14,2026-01-11,,Establish performance baselines with load testing. Document current metrics.,false,5,5,Backend,1500,90,performance@example.com,https://k6.io,"[{""id"":""thumb-11"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0111,10800,TASK-2026-011
,CI/CD Pipeline Setup,In Progress,High,2026-01-17,2026-01-12,,Configure GitHub Actions for automated testing linting and deployment.,false,5,5,Backend,2000,65,devops@example.com,https://github.com/features/actions,"[{""id"":""thumb-12"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1504868584819-f8e8b4b6d7e3?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0112,9000,TASK-2026-012
,Error Monitoring Setup,Done,Medium,2026-01-10,2026-01-07,,Integrate Sentry for error tracking and alerting. Configure source maps.,true,3,5,Backend,800,100,monitoring@example.com,https://sentry.io,"[{""id"":""thumb-13"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1456406644174-8ddd4cd52a06?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0113,5400,TASK-2026-013
,Data Migration Strategy,Not Started,High,2026-02-05,2026-01-22,,Plan data migration from legacy system. Create rollback procedures.,false,8,3,Backend,4000,0,migration@example.com,https://docs.example.com/migration,"[{""id"":""thumb-14"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1563986768609-322da13575f3?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0114,0,TASK-2026-014
,User Dashboard MVP,Not Started,High,2026-02-10,2026-01-25,,Build minimum viable user dashboard with key metrics and navigation.,false,13,4,"Frontend,Feature",5000,0,dashboard@example.com,https://figma.com/dashboard,"[{""id"":""thumb-15"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1512941937669-90a1b58e7e9c?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0115,0,TASK-2026-015
,API Rate Limiting,In Progress,Medium,2026-01-19,2026-01-14,,Implement token bucket rate limiting for API endpoints. Add Redis caching.,false,5,5,Backend,1800,40,api@example.com,https://docs.example.com/rate-limits,"[{""id"":""thumb-16"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0116,7200,TASK-2026-016
,Mobile Responsive Design,Not Started,Medium,2026-02-01,2026-01-20,,Ensure all components are fully responsive. Test on various device sizes.,false,8,4,"Frontend,Design",2500,0,mobile@example.com,https://figma.com/mobile,"[{""id"":""thumb-17"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1581291518857-4e27b48ff24e?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0117,0,TASK-2026-017
,Search Functionality,Not Started,High,2026-02-08,2026-01-28,,Implement full-text search with Elasticsearch. Include filters and suggestions.,false,13,4,"Backend,Feature",4500,0,search@example.com,https://elastic.co,"[{""id"":""thumb-18"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0118,0,TASK-2026-018
,Notification System Design,Review,Medium,2026-01-16,2026-01-11,,Design notification system architecture. Include email SMS and push channels.,false,5,4,"Backend,Docs",2000,85,notifications@example.com,https://docs.example.com/notifications,"[{""id"":""thumb-19"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0119,9000,TASK-2026-019
,Code Review Guidelines,Done,Low,2026-01-09,2026-01-07,,Document code review process and standards for the team.,true,2,5,Docs,300,100,quality@example.com,https://docs.example.com/code-review,"[{""id"":""thumb-20"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0120,3600,TASK-2026-020
,Logging Infrastructure,Done,Medium,2026-01-11,2026-01-08,,Set up centralized logging with ELK stack. Configure log aggregation.,true,5,5,Backend,1500,100,logging@example.com,https://elastic.co/elk,"[{""id"":""thumb-21"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1504868584819-f8e8b4b6d7e3?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0121,10800,TASK-2026-021
,Unit Test Coverage,In Progress,High,2026-01-23,2026-01-15,,Achieve 80% unit test coverage for core business logic.,false,8,4,"Backend,Frontend",2500,30,testing@example.com,https://vitest.dev,"[{""id"":""thumb-22"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1581291518857-4e27b48ff24e?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0122,10800,TASK-2026-022
,Security Headers Implementation,Review,High,2026-01-15,2026-01-12,,Implement security headers CSP HSTS and XSS protection.,false,3,5,Backend,800,95,security@example.com,https://owasp.org/headers,"[{""id"":""thumb-23"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0123,5400,TASK-2026-023
,Environment Configuration,Done,High,2026-01-08,2026-01-06,,Set up development staging and production environment configurations.,true,3,5,Backend,500,100,devops@example.com,https://docs.example.com/environments,"[{""id"":""thumb-24"",""filename"":""thumbnail.jpg"",""url"":""https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=800&q=80"",""mime_type"":""image/jpeg"",""size"":50000}]",+1 (415) 555-0124,5400,TASK-2026-024
