_id,Name,SKU,Category,Price,Cost,Stock Level,Reorder Point,Supplier,Image
,MacBook Pro 14,ELEC-001,Electronics,1999.99,1450.00,45,10,TechSource Inc,"[{""id"":""img-1"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Ergonomic Office Chair,FURN-001,Furniture,449.99,280.00,32,15,Office Comfort Co,"[{""id"":""img-2"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1580480055273-228ff5388ef8?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Wireless Mouse,ELEC-002,Electronics,79.99,35.00,150,50,TechSource Inc,"[{""id"":""img-3"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Standing Desk,FURN-002,Furniture,699.99,420.00,18,8,Office Comfort Co,"[{""id"":""img-4"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1595515106969-1ce29566ff1c?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Premium Notebook Set,OFFC-001,Office Supplies,24.99,12.00,200,75,Paper World,"[{""id"":""img-5"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Mechanical Keyboard,ELEC-003,Electronics,149.99,85.00,65,20,TechSource Inc,"[{""id"":""img-6"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1511467687858-23d96c32e4ae?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Desk Lamp LED,OFFC-002,Office Supplies,59.99,28.00,85,30,LightWorks,"[{""id"":""img-7"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Cordless Drill Set,TOOL-001,Tools,189.99,110.00,42,15,ToolMaster,"[{""id"":""img-8"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1504148455328-c376907d081c?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,4K Monitor 27 inch,ELEC-004,Electronics,549.99,350.00,28,10,TechSource Inc,"[{""id"":""img-9"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Filing Cabinet 3-Drawer,FURN-003,Furniture,199.99,120.00,22,10,Office Comfort Co,"[{""id"":""img-10"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Whiteboard 4x6 ft,OFFC-003,Office Supplies,149.99,75.00,15,5,Paper World,"[{""id"":""img-11"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1532619675605-1ede6c2ed2b0?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Power Tool Kit,TOOL-002,Tools,299.99,180.00,8,5,ToolMaster,"[{""id"":""img-12"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1581783898377-1c85bf937427?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
