_id,Name,SKU,Category,Price,Compare Price,Stock,Description,Images
,Wireless Earbuds Pro,ELEC-001,Electronics,149.99,199.99,250,Premium wireless earbuds with active noise cancellation and 24-hour battery life.,"[{""id"":""img-1"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Smart Watch Series 5,ELEC-002,Electronics,299.99,349.99,180,Advanced fitness tracking with heart rate monitor and GPS.,"[{""id"":""img-2"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Premium Cotton T-Shirt,CLTH-001,Clothing,34.99,44.99,500,100% organic cotton t-shirt. Available in multiple colors.,"[{""id"":""img-3"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Slim Fit Jeans,CLTH-002,Clothing,79.99,99.99,320,Classic slim fit denim jeans with stretch comfort.,"[{""id"":""img-4"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1542272604-787c3835535d?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Modern Table Lamp,HOME-001,Home,89.99,119.99,75,Minimalist design with adjustable brightness levels.,"[{""id"":""img-5"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Yoga Mat Premium,SPRT-001,Sports,49.99,64.99,200,Extra thick non-slip yoga mat with carrying strap.,"[{""id"":""img-6"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Running Shoes Air,SPRT-002,Sports,129.99,159.99,145,Lightweight running shoes with responsive cushioning.,"[{""id"":""img-7"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Bestseller Novel Collection,BOOK-001,Books,24.99,34.99,85,Collection of 3 bestselling novels in paperback.,"[{""id"":""img-8"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Bluetooth Speaker,ELEC-003,Electronics,79.99,99.99,165,Portable waterproof speaker with 360-degree sound.,"[{""id"":""img-9"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
,Throw Blanket Cozy,HOME-002,Home,59.99,79.99,120,Ultra-soft fleece throw blanket for couch or bed.,"[{""id"":""img-10"",""filename"":""product.jpg"",""url"":""https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400&q=80"",""mime_type"":""image/jpeg"",""size"":10000}]"
